nflId,displayName,position
53819,Ar'Darius Washington,FS
53533,Brandon Stephens,CB
52627,Geno Stone,FS
44854,Marcus Williams,FS
43694,Michael Pierce,NT
52436,Patrick Queen,ILB
42393,Ronald Darby,CB
46206,Dalton Schultz,TE
53518,Nico Collins,WR
45052,Noah Brown,WR
55934,Tank Dell,WR
55866,C.J. Stroud,QB
54572,Dameon Pierce,RB
56032,Henry To'oTo'o,OLB
44902,Shaquill Griffin,CB
53456,Rashod Bateman,WR
54479,Kyle Hamilton,SS
46077,Roquan Smith,MLB
39989,Robert Woods,WR
54635,Teagan Quitoriano,TE
43797,Cory Littleton,OLB
48096,Andrew Beck,FB
47857,Devin Singletary,RB
46461,Mike Boone,RB
52506,Malik Harrison,ILB
53460,Odafe Oweh,OLB
54510,David Ojabo,OLB
43366,Daryl Worley,FS
46122,M.J. Stewart,FS
46437,Gus Edwards,RB
54593,Charlie Kolar,TE
52897,Grayland Arnold,FS
47817,Rock Ya-Sin,CB
56070,Xavier Hutchinson,WR
44974,Anthony Walker,MLB
46073,Denzel Ward,CB
52452,Grant Delpit,SS
53455,Greg Newsome II,CB
54533,Martin Emerson,CB
38843,Rodney McLeod,FS
56405,Ronnie Hickman Jr.,FS
52441,Tee Higgins,WR
47965,Trayveon Williams,RB
48471,Trenton Irwin,WR
43344,Tyler Boyd,WR
52409,Joe Burrow,QB
53434,Ja'Marr Chase,WR
54525,Cam Taylor-Britt,CB
44872,Chidobe Awuzie,CB
54496,Daxton Hill,CB
47855,Germaine Pratt,OLB
52473,Logan Wilson,MLB
43641,Mike Hilton,CB
48026,Nick Scott,FS
42347,Amari Cooper,WR
52595,Donovan Peoples-Jones,WR
53463,Elijah Moore,WR
46167,Jordan Akins,TE
44824,Deshaun Watson,QB
46104,Nick Chubb,RB
53481,Jeremiah Owusu-Koramoah,OLB
47863,Sione Takitaki,OLB
44860,Joe Mixon,RB
47833,Irv Smith,TE
40026,Marquise Goodwin,WR
53540,Cameron Sample,DE
55925,DJ Turner II,CB
55939,Cedric Tillman,WR
44841,David Njoku,TE
52515,Akeem Davis-Gaither,ILB
54621,Jerome Ford,RB
54543,Alex Wright,DE
46138,B.J. Hill,DT
52523,Harrison Bryant,TE
54564,David Bell,WR
44915,Trey Hendrickson,DE
44813,Myles Garrett,DE
42465,Za'Darius Smith,DE
53631,Chris Evans,RB
56007,Cameron Mitchell,CB
41464,Shelby Harris,DT
47835,Drew Sample,TE
48208,Jake Browning,QB
53494,Andre Cisco,FS
46456,Darious Williams,CB
54492,Devin Lloyd,MLB
46269,Foye Oluokun,OLB
44926,Rayshawn Jenkins,SS
46700,Tre Herndon,CB
53462,Tyson Campbell,CB
54518,Alec Pierce,WR
53703,Deon Jackson,RB
55944,Josh Downs,WR
52442,Michael Pittman,WR
55868,Anthony Richardson,QB
54657,Andrew Ogletree,TE
54980,Dallis Flowers,CB
55137,Darrell Baker Jr.,CB
52493,Julian Blackmon,FS
45287,Kenny Moore II,CB
54704,Rodney Thomas,FS
46105,Shaquille Leonard,MLB
46304,Zaire Franklin,MLB
46095,Calvin Ridley,WR
46116,Christian Kirk,WR
44835,Evan Engram,TE
53454,Travis Etienne,RB
53430,Trevor Lawrence,QB
44849,Zay Jones,WR
47947,E.J. Speed,MLB
54466,Travon Walker,DE
44792,Mo Alie-Cox,TE
55926,Brenton Strange,TE
47790,Josh Hines-Allen,DE
53556,Kylen Granson,TE
53574,Luke Farrell,TE
46724,Tony Brown,CB
55953,Tank Bigsby,RB
44985,Isaiah McKenzie,WR
48508,Andrew Wingard,FS
56041,Evan Hull,RB
52428,K'Lavon Chaisson,OLB
53662,Jake Funk,RB
43296,DeForest Buckner,DT
47970,Juwann Winfree,WR
47961,Gardner Minshew,QB
52453,Antoine Winfield Jr.,FS
46132,Carlton Davis III,CB
56540,Christian Izien,SS
47788,Devin White,OLB
47877,Jamel Dean,CB
38588,Lavonte David,ILB
46711,Ryan Neal,SS
43971,C.J. Ham,FB
55887,Jordan Addison,WR
52584,K.J. Osborn,WR
47791,T.J. Hockenson,TE
38632,Kirk Cousins,QB
52430,Justin Jefferson,WR
54583,Akayleb Evans,CB
47816,Byron Murphy,CB
53554,Camryn Bynum,FS
38559,Harrison Smith,FS
42427,Jordan Hicks,ILB
52613,Josh Metellus,SS
44896,Chris Godwin Jr.,WR
41233,Mike Evans,WR
54556,Rachaad White,RB
46070,Baker Mayfield,QB
54683,Ko Kieft,TE
55967,Mekhi Blackmon,CB
53519,Patrick Jones II,OLB
54571,Cade Otton,TE
55075,Deven Thompkins,WR
41915,Shaquil Barrett,OLB
53461,Joe Tryon-Shoyinka,OLB
47885,Alexander Mattison,RB
47852,Josh Oliver,TE
47890,Anthony Nelson,OLB
55947,Yaya Diaby,OLB
45094,Johnny Mundt,TE
56527,Ivan Pace Jr.,ILB
46203,Chase Edmonds,RB
56056,Trey Palmer,WR
54531,Brian Asamoah II,ILB
54634,Ty Chandler,RB
43426,Dean Lowry,DE
42431,Danielle Hunter,DE
52525,D.J. Wonnum,OLB
56541,Rakim Jarrett,WR
56663,Sean Tucker,RB
46081,Vita Vea,NT
54514,Alontae Taylor,CB
38607,Demario Davis,MLB
44851,Marcus Maye,FS
44823,Marshon Lattimore,CB
53505,Paulson Adebo,CB
53489,Pete Werner,ILB
40017,Tyrann Mathieu,FS
39973,DeAndre Hopkins,WR
53074,Nick Westbrook-Ikhine,WR
54483,Treylon Burks,WR
55946,Tyjae Spears,RB
38538,Ryan Tannehill,QB
54608,Chig Okonkwo,TE
56011,Jordan Howden,FS
47899,Amani Hooker,SS
48268,Azeez Al-Shaair,MLB
46110,Harold Landry III,OLB
55184,Jack Gibbens,ILB
43353,Kevin Byard,FS
52469,Kristian Fulton,CB
47822,Sean Murphy-Bunting,CB
54476,Chris Olave,WR
47920,Foster Moreau,TE
44947,Jamaal Williams,RB
52942,Juwan Johnson,TE
41265,Derek Carr,QB
43336,Michael Thomas,WR
53529,Elijah Molden,FS
54500,Roger McCreary,CB
55133,Rashid Shaheed,WR
52482,Zack Baun,ILB
43334,Derrick Henry,RB
47904,Trevon Wesco,TE
46542,Keith Kirkwood,WR
52746,Kirk Merritt,WR
52571,Kindle Vildor,CB
53932,Adam Prentice,FB
46168,Isaac Yiadom,CB
43396,Chris Moore,WR
46141,Nathan Shepherd,DE
55081,Mike Brown,FS
52762,Tony Jones,RB
55182,Julius Chestnut,RB
48537,Carl Granderson,OLB
56012,Josh Whyle,TE
47915,Ugo Amadi,FS
53531,Ambry Thomas,CB
46757,Charvarius Ward,CB
53601,Deommodore Lenoir,CB
47931,Dre Greenlaw,ILB
46139,Fred Warner,MLB
53609,Talanoa Hufanga,SS
38868,Tashaun Gipson,FS
41290,Allen Robinson,WR
47849,Diontae Johnson,WR
53453,Najee Harris,RB
53484,Pat Freiermuth,TE
54485,Kenny Pickett,QB
54517,George Pickens,WR
52510,Alex Highsmith,OLB
47956,Cole Holcomb,ILB
43503,Elandon Roberts,MLB
43306,Keanu Neal,FS
46698,Levi Wallace,CB
46080,Minkah Fitzpatrick,FS
37078,Patrick Peterson,CB
52433,Brandon Aiyuk,WR
44820,Christian McCaffrey,RB
44959,George Kittle,TE
40078,Kyle Juszczyk,FB
54727,Brock Purdy,QB
47819,Deebo Samuel Sr.,WR
44962,Damontae Kazee,FS
42467,Kwon Alexander,OLB
54905,Jaylen Warren,RB
46652,Chandon Sullivan,CB
52625,Jauan Jennings,WR
56118,Ronnie Bell,WR
55897,Joey Porter Jr.,CB
46157,Oren Burks,OLB
44842,T.J. Watt,OLB
52598,Charlie Woerner,TE
53623,Elijah Mitchell,RB
46331,Ross Dwelley,TE
55958,Darnell Washington,TE
42401,Markus Golden,OLB
55997,Nick Herbig,OLB
54603,Calvin Austin III,WR
54673,Connor Heyward,TE
52532,Anthony McFarland,RB
46256,Ray-Ray McCloud,WR
46127,Isaiah Oliver,FS
47876,Miles Boykin,WR
54637,Samuel Womack,CB
46349,George Odum,FS
44848,Budda Baker,SS
49410,Jalen Thompson,FS
46968,Josh Woods,MLB
52535,K'Von Wallace,FS
56045,Kei'Trel Clark,CB
46188,Kyzir White,ILB
53565,Marco Wilson,CB
54563,Brian Robinson,RB
44852,Curtis Samuel,WR
41349,Logan Thomas,TE
47859,Terry McLaurin,WR
54609,Sam Howell,QB
54481,Jahan Dotson,WR
46657,Dennis Gardeck,OLB
53445,Zaven Collins,OLB
53511,Dyami Brown,WR
52474,Antonio Gibson,RB
53503,Benjamin St-Juste,CB
47871,Cody Barton,ILB
53592,Darrick Forrest,FS
55880,Emmanuel Forbes,CB
53448,Jamin Davis,OLB
52624,Kam Curl,SS
43373,Kendall Fuller,CB
44917,James Conner,RB
47808,Marquise Brown,WR
55959,Michael Wilson,WR
53478,Rondale Moore,WR
44948,Joshua Dobbs,QB
39983,Zach Ertz,TE
54578,Percy Butler,SS
45102,Zach Pascal,WR
52641,Casey Toohill,DE
42589,Geoff Swaim,TE
54666,Keaontay Ingram,RB
54520,Trey McBride,TE
52863,Krys Barnes,ILB
43986,Antonio Hamilton,CB
54614,Cole Turner,TE
53639,Victor Dimukeje,OLB
53553,John Bates,TE
52637,James Smith-Williams,DE
46807,Andre Chachere,SS
47804,Darnell Savage,FS
46087,Jaire Alexander,CB
48241,Keisean Nixon,CB
42381,Preston Smith,DE
54487,Quay Walker,OLB
44911,Rasul Douglas,CB
45021,Rudy Ford,FS
52451,Cole Kmet,TE
46093,DJ Moore,WR
52581,Darnell Mooney,WR
53646,Khalil Herbert,RB
53440,Justin Fields,QB
55998,Tyler Scott,WR
44925,Eddie Jackson,FS
54513,Jaquan Brisker,SS
52458,Jaylon Johnson,CB
54504,Kyler Gordon,CB
48516,T.J. Edwards,OLB
46085,Tremaine Edmunds,MLB
55921,Tyrique Stevenson,CB
44995,Aaron Jones,RB
56024,Dontayvion Wicks,WR
55915,Jayden Reed,WR
55907,Luke Musgrave,TE
52434,Jordan Love,QB
54597,Romeo Doubs,WR
54781,Jack Sanborn,MLB
52502,Josiah Deguara,TE
54719,Elijah Hicks,FS
52457,Chase Claypool,WR
43404,De'Vondre Campbell,ILB
54644,Kingsley Enagbare,DE
48207,Khari Blasingame,FB
44901,D'Onta Foreman,RB
52470,AJ Dillon,RB
54723,Samori Toure,WR
56220,Malik Heath,WR
45635,Robert Tonyan,TE
47939,Justin Hollins,OLB
56529,Ben Sims,TE
56097,Carrington Valentine,CB
55980,Roschon Johnson,RB
54639,Dominique Robinson,DE
54807,Josh Blackwell,CB
53649,Isaiah McDuffie,MLB
52875,Patrick Taylor,RB
55943,Tucker Kraft,TE
46669,Jonathan Owens,SS
45215,Eric Wilson,ILB
46908,Dallin Leavitt,SS
53187,Innis Gaines,SS
44990,Trent Taylor,WR
42929,Alex Singleton,ILB
54580,Damarri Mathis,CB
46175,Josey Jewell,ILB
43387,Justin Simmons,FS
35459,Kareem Jackson,SS
53438,Pat Surtain II,CB
47749,Jakob Johnson,FB
48097,Jakobi Meyers,WR
47807,Josh Jacobs,RB
55900,Michael Mayer,TE
41291,Jimmy Garoppolo,QB
41282,Davante Adams,WR
52764,Essang Bassey,CB
43370,Austin Hooper,TE
53075,Kristian Wilkerson,WR
53509,Divine Deablo,ILB
55969,Jakorian Bennett,CB
47974,Marcus Epps,SS
42361,Marcus Peters,CB
53596,Nate Hobbs,CB
46902,Robert Spillane,ILB
53472,Tre'von Moehrig,SS
46109,Courtland Sutton,WR
54545,Greg Dulcich,TE
53464,Javonte Williams,RB
48541,Lil'Jordan Humphrey,WR
38605,Russell Wilson,QB
52513,Adam Trautman,TE
54967,Brandon Johnson,WR
55928,Marvin Mims Jr.,WR
44927,Samaje Perine,RB
53668,Jonathon Cooper,OLB
54587,Zamir White,RB
47932,Hunter Renfrow,WR
44893,Fabian Moreau,CB
42397,Ameer Abdullah,RB
54529,Nik Bonitto,OLB
42406,Frank Clark,OLB
48581,Roderic Teamer,SS
42302,Chris Manhertz,TE
42372,Phillip Dorsett,WR
42794,DeAndre Carter,WR
52547,Amik Robertson,CB
42511,Michael Burton,FB
55871,Tyree Wilson,DE
52594,Alohi Gilman,FS
46086,Derwin James,SS
42388,Eric Kendricks,ILB
46775,J.C. Jackson,CB
54544,JT Woods,CB
52431,"Kenneth Murray, Jr.",MLB
45571,Michael Davis,CB
48233,Alec Ingold,FB
46192,Durham Smythe,TE
42718,Raheem Mostert,RB
43454,Tyreek Hill,WR
52413,Tua Tagovailoa,QB
53435,Jaylen Waddle,WR
47934,Andrew Van Ginkel,OLB
46259,DeShon Elliott,SS
43299,Eli Apple,CB
46142,Jerome Baker,OLB
53465,Jevon Holland,FS
54936,Kader Kohou,CB
43327,Xavien Howard,CB
45573,Austin Ekeler,RB
44856,Gerald Everett,TE
53506,Josh Palmer,WR
44819,Mike Williams,WR
52414,Justin Herbert,QB
40024,Keenan Allen,WR
47971,David Long Jr.,ILB
53447,Jaelan Phillips,OLB
48456,Donald Parham,TE
52520,Joshua Kelley,RB
46279,Braxton Berrios,WR
54590,Erik Ezukanma,WR
45900,River Cracraft,WR
53476,Asante Samuel,CB
52922,Salvon Ahmed,RB
38707,Justin Bethel,CB
55885,Quentin Johnston,WR
55061,Stone Smartt,TE
46074,Bradley Chubb,OLB
41231,Khalil Mack,OLB
54679,Ja'Sir Taylor,CB
55919,Tuli Tuipulotu,OLB
56582,Elijah Dotson,RB
55881,Christian Gonzalez,CB
46212,Ja'Whaun Bentley,ILB
44837,Jabrill Peppers,SS
47826,Jahlani Tavai,ILB
43700,Jonathan Jones,CB
52445,Kyle Dugger,SS
52991,Myles Bryant,S
47834,A.J. Brown,WR
46118,Dallas Goedert,TE
53439,DeVonta Smith,WR
52608,Quez Watkins,WR
52461,Jalen Hurts,QB
53579,Kenneth Gainwell,RB
55941,Marte Mapu,ILB
53946,Jack Stoll,TE
46194,Avonte Maddox,CB
39984,Darius Slay,CB
43351,James Bradberry,CB
44862,Justin Evans,FS
54548,Nakobe Dean,ILB
54808,Reed Blankenship,FS
44869,Zach Cunningham,MLB
56075,DeMario Douglas,WR
46111,Mike Gesicki,TE
45339,Pharaoh Brown,TE
42437,Ty Montgomery,WR
53444,Mac Jones,QB
43324,Hunter Henry,TE
45185,Kendrick Bourne,WR
53549,Rhamondre Stevenson,RB
56052,Kayshon Boutte,WR
54550,Marcus Jones,CB
46270,Boston Scott,RB
55894,Nolan Smith,OLB
44874,JuJu Smith-Schuster,WR
47938,Mack Wilson,ILB
52443,D'Andre Swift,RB
43522,Jalen Mills,CB
46097,Terrell Edmunds,FS
43293,Ezekiel Elliott,RB
54026,Christian Elliss,ILB
42116,Adrian Phillips,FS
43435,Matthew Judon,OLB
48374,Olamide Zaccheaus,WR
52468,Joshua Uche,OLB
54663,Grant Calcaterra,TE
35452,Brandon Graham,DE
54815,Josh Jobe,CB
44878,Ahkello Witherspoon,CB
52844,Christian Rozeboom,ILB
54677,Derion Kendrick,CB
53532,Ernest Jones,MLB
52607,Jordan Fuller,FS
52835,Michael Hoecht,OLB
54718,Russ Yeast,FS
47847,DK Metcalf,WR
54506,Kenneth Walker III,RB
47803,Noah Fant,TE
46189,Will Dissly,TE
39987,Geno Smith,QB
42412,Tyler Lockett,WR
55942,Byron Young,OLB
54607,Cobie Durant,CB
55103,Zach VanValkenburg,OLB
56471,Jake Bobo,WR
55884,Jaxon Smith-Njigba,WR
52541,Colby Parkinson,TE
38577,Bobby Wagner,MLB
54574,Coby Bryant,FS
52435,Jordyn Brooks,ILB
47891,Julian Love,SS
42543,Quandre Diggs,FS
54618,Riq Woolen,CB
53566,Tre Brown,CB
54629,Kyren Williams,RB
56042,Puka Nacua,WR
53486,Tutu Atwell,WR
52465,Van Jefferson,WR
34452,Matthew Stafford,QB
43399,Tyler Higbee,TE
43314,Artie Burns,CB
52456,Darrell Taylor,DE
43415,Demarcus Robinson,WR
55917,Zach Charbonnet,RB
47941,Mike Jackson,CB
47793,Devin Bush,MLB
53678,Ben Skowronek,WR
52544,Brycen Hopkins,TE
55902,Derick Hall,OLB
52552,DeeJay Dallas,RB
46117,Uchenna Nwosu,OLB
48266,Cody Thompson,WR
52460,Cam Akers,RB
56040,Davis Allen,TE
54676,Quentin Lake,FS
43533,Jayron Kearse,FS
55166,Juanyeh Thomas,FS
46088,Leighton Vander Esch,ILB
44827,Malik Hooker,SS
55149,Markquese Bell,SS
38540,Stephon Gilmore,CB
52459,Trevon Diggs,CB
47954,Darius Slayton,WR
55938,Jalin Hyatt,WR
46071,Saquon Barkley,RB
47789,Daniel Jones,QB
42547,Darren Waller,TE
44830,Adoree' Jackson,CB
47872,Bobby Okereke,ILB
55888,Deonte Banks,CB
53604,Jason Pinnock,FS
54611,Micah McFadden,ILB
56074,Tre Hawkins III,CB
52444,Xavier McKinney,SS
41246,Brandin Cooks,WR
52425,CeeDee Lamb,WR
46150,Michael Gallup,WR
47911,Tony Pollard,RB
43424,Dak Prescott,QB
54594,Jake Ferguson,TE
53117,KaVontae Turpin,WR
54632,DaRon Bland,CB
52615,Isaiah Hodgins,WR
47842,Parris Campbell,WR
55157,Peyton Hendershot,TE
54579,Dane Belton,SS
54553,Jalen Tolbert,WR
52416,Isaiah Simmons,MLB
43329,Sterling Shepard,WR
54641,Damone Clark,OLB
53656,Israel Mukuamu,FS
54577,Daniel Bellinger,TE
45186,Matt Breida,RB
53854,Nick McCloud,CB
43333,Jihad Ward,OLB
54470,Kayvon Thibodeaux,OLB
55923,Luke Schoonmaker,TE
52518,Darnay Holmes,CB
56077,Deuce Vaughn,RB
53041,Rico Dowdle,RB
53047,Lawrence Cager,TE
42094,C.J. Goodwin,CB
52438,Noah Igbinoghene,CB
53625,Gary Brightwell,RB
45536,Cooper Rush,QB
42485,Adrian Amos,FS
41243,C.J. Mosley,ILB
46211,D.J. Reed,CB
47881,Quincy Williams,OLB
54469,Sauce Gardner,CB
54833,Tony Adams,SS
55889,Dalton Kincaid,TE
47879,Dawson Knox,TE
52536,Gabe Davis,WR
54528,James Cook,RB
46076,Josh Allen,QB
42489,Stefon Diggs,WR
46186,Jordan Whitehead,SS
53583,Michael Carter II,CB
48415,Deonte Harty,WR
54650,Christian Benford,CB
40166,Jordan Poyer,SS
44976,Matt Milano,OLB
40107,Micah Hyde,FS
46190,Taron Johnson,CB
54554,Terrel Bernard,MLB
44839,Tre'Davious White,CB
46705,Allen Lazard,WR
54501,Breece Hall,RB
42500,C.J. Uzomah,TE
46226,Tyler Conklin,TE
53431,Zach Wilson,QB
54475,Garrett Wilson,WR
37139,Randall Cobb,WR
53536,Michael Carter,RB
52476,Ashtyn Davis,SS
47870,Damien Harris,RB
43436,Quinton Jefferson,DE
44853,Dalvin Cook,RB
52462,A.J. Epenesa,DE
40129,Latavius Murray,RB
46671,Trent Sherfield,WR
53855,Quintin Morris,TE
54613,Khalil Shakir,WR
53575,Jamien Sherwood,MLB
